,type,address_1,address_2,open_hours,city,state,postal_code,latitude,longitude
36,Pizza Hut,710 2nd Ave NW,,12:00 PM - 8:00 PM,Cullman,AL,35055,34.1761,-86.8298
37,Pizza Hut,609 N Daleville Ave,,10:30 AM - 10:00 PM,Daleville,AL,36322,31.2811,-85.7305
38,Pizza Hut Express,1241 Point Mallard Pkwy.,Bldg A-4,,Decatur,AL,35601,34.5896,-86.9887
39,Pizza Hut,2941 Point Mallard Pkwy. SE,Suite I,11:00 AM - 10:00 PM,Decatur,AL,35603,34.5484,-87.0004
40,Pizza Hut,926 Beltline Rd SW,,10:00 AM - 10:00 PM,Decatur,AL,35601,34.5896,-86.9887
41,Pizza Hut,1912 SE Ross Clark Cir,,11:00 AM - 11:00 PM,Dothan,AL,36301,31.1481,-85.3718
42,Pizza Hut,4412 Montgomery Highway,,11:00 AM - 10:00 PM,Dothan,AL,36303,31.2668,-85.3971
43,Pizza Hut Express,4601 Montgomery Hwy,,,Dothan,AL,36303,31.2668,-85.3971
44,Pizza Hut,977 Alabama 203,,10:30 AM - 10:00 PM,Elba,AL,36323,31.4137,-86.0777
45,Pizza Hut,1010 Ft Rucker,,10:30 AM - 10:00 PM,Enterprise,AL,36330,31.3408,-85.8421
46,Pizza Hut,1110 S Eufaula Ave,,10:30 AM - 10:00 PM,Eufaula,AL,36027,31.9051,-85.1656
47,Pizza Hut,21465 Hwy. 31,,11:00 AM - 10:00 PM,Flomaton,AL,36441,31.0402,-87.2664
48,Pizza Hut,859 Cox Creek Parkway,#2,10:00 AM - 11:00 PM,Florence,AL,35630,34.8305,-87.656
49,Pizza Hut,1350 S. McKenzie Rd.,,10:00 AM - 11:00 PM,Foley,AL,36535,30.4007,-87.6857
50,Pizza Hut,203 Greenhill Blvd.,,10:00 AM - 10:00 PM,Fort Payne,AL,35967,34.4368,-85.7124
51,Pizza Hut Express,3489 Lowery Parkway,,10:00 AM - 8:00 PM,Fultondale,AL,35068,33.6017,-86.8265
52,Pizza Hut,510 E Meighan Blvd,# 7,11:00 AM - 10:00 PM,Gadsden,AL,35903,33.9845,-85.9077
53,Pizza Hut,1000 W Maple Ave,,10:30 AM - 10:00 PM,Geneva,AL,36340,31.0414,-85.8847
54,Pizza Hut,41263C Al Hwy. 75,,11:00 AM - 10:00 PM,Geraldine,AL,35974,34.3592,-86.024
55,Pizza Hut,915 Fort Dale Rd,,10:00 AM - 10:00 PM,Greenville,AL,36037,31.81,-86.6229
56,Pizza Hut Express,3820 Gulf Shores Pkwy.,,,Gulf Shores,AL,36542,30.2717,-87.7589
57,Pizza Hut,1819 11th Avenue,,11:00 AM - 10:00 PM,Haleyville,AL,35565,34.2314,-87.5938
58,Pizza Hut,360 Bexar Ave. East,,11:00 AM - 10:00 PM,Hamilton,AL,35570,34.1534,-88.0085
59,Pizza Hut,200 Highway 31 SW,,10:00 AM - 10:00 PM,Hartselle,AL,35640,34.4482,-86.9242
60,Pizza Hut,16640 US Highway,#431,10:30 AM - 10:00 PM,Headland,AL,36345,31.3534,-85.3323
61,Pizza Hut,495 Helena Market Place,,10:00 AM - 10:00 PM,Helena,AL,35080,33.2663,-86.902
62,Pizza Hut,2312 John Hawkins Pkwy,,10:00 AM - 10:00 PM,Hoover,AL,35244,33.3538,-86.8254
63,Pizza Hut Express,5561 Grove Blvd.,,,Hoover,AL,35226,33.3967,-86.8346
64,Pizza Hut,3029 Allison Bonnett Memorial Dr,# 109,10:00 AM - 11:00 PM,Hueytown,AL,35023,33.468,-87.0924
65,Pizza Hut,11570 Memorial Pkwy S,,11:00 AM - 10:00 PM,Huntsville,AL,35803,34.6205,-86.551
66,Pizza Hut,2246 Winchester Rd. NE,Unit #308,11:00 AM - 10:00 PM,Huntsville,AL,35811,34.7789,-86.5438
67,Pizza Hut,2417 N Memorial Pkwy,,11:00 AM - 8:00 PM,Huntsville,AL,35810,34.7784,-86.6091
68,Pizza Hut Express,2750 Carl T Jones Drive SE,Target - T1367,,Huntsville,AL,35802,34.6679,-86.5603
69,Pizza Hut,4802 University Dr NW,,11:00 AM - 10:00 PM,Huntsville,AL,35816,34.7389,-86.6249
70,Pizza Hut Express,6275 University Drive NW,Target - T1346,,Huntsville,AL,35806,34.7448,-86.6704
71,Pizza Hut Express,4623 Grantswood Rd,Quick Shop #23,,Irondale,AL,35210,33.5452,-86.6655
72,Pizza Hut,2123 N. College,,10:00 AM - 10:00 PM,Jackson,AL,36545,31.5131,-87.8672
73,Pizza Hut,816 Pelham Rd S,,10:30 AM - 10:00 PM,Jacksonville,AL,36265,33.831,-85.7752
74,Pizza Hut,1160 Hwy 78 East,,10:30 AM - 10:00 PM,Jasper,AL,35501,33.8312,-87.2775
75,Pizza Hut,24557 US Hwy. 31,,10:00 AM - 10:00 PM,Jemison,AL,35085,32.9805,-86.7181
76,Pizza Hut,1127 Highway 72,#8,11:00 AM - 10:00 PM,Killen,AL,35645,34.9016,-87.5082
77,Pizza Hut,424 S. Forest Ave.,,11:00 AM - 10:00 PM,Luverne,AL,36049,31.7074,-86.2566
78,Pizza Hut,7950 Highway 72 W,,11:00 AM - 11:00 PM,Madison,AL,35758,34.7108,-86.7425
79,Pizza Hut Express,8207 Highway 72 W,,,Madison,AL,35758,34.7108,-86.7425
80,Pizza Hut,8830 Madison Blvd,,11:00 AM - 11:00 PM,Madison,AL,35758,34.7108,-86.7425
81,Pizza Hut,11818 US Hwy 231/431 North,,11:00 AM - 10:00 PM,Meridianville,AL,35759,34.8618,-86.5789
82,Pizza Hut,4110 Highway 14,,10:00 AM - 10:00 PM,Millbrook,AL,36054,32.4995,-86.3641
83,Pizza Hut,1866-A Government St,,10:00 AM - 10:00 PM,Mobile,AL,36606,30.6729,-88.1009
84,Pizza Hut,1956 S University,,10:00 AM - 10:00 PM,Mobile,AL,36609,30.6605,-88.1618
85,Pizza Hut,2502 Schillinger,,10:00 AM - 10:00 PM,Mobile,AL,36695,30.6474,-88.2292
86,Pizza Hut Express,307 N. University Blvd.,University Of South Alabama,,Mobile,AL,36688,30.6962,-88.1821
87,Pizza Hut,5821 Old Shell Rd,Ste G,10:00 AM - 11:00 PM,Mobile,AL,36608,30.6817,-88.2945
88,Pizza Hut,7745-A Moffat Rd,,10:00 AM - 11:00 PM,Mobile,AL,36618,30.7322,-88.1758
89,Pizza Hut,2060 S. Hwy. 21 Bypass,,10:00 AM - 10:00 PM,Monroeville,AL,36460,31.5153,-87.341
90,Pizza Hut,750 Main St.,,10:00 AM - 10:00 PM,Montevallo,AL,35115,33.1248,-86.8622
91,Pizza Hut Express,1061 Eastern Blvd,Lion's Pride #4 Eastern Bypass,,Montgomery,AL,36117,32.3736,-86.1833
92,Pizza Hut,2865 E South Blvd,,10:00 AM - 10:00 PM,Montgomery,AL,36116,32.3129,-86.2421
93,Pizza Hut,3992 Atlanta Highway,,10:00 AM - 11:00 PM,Montgomery,AL,36106,32.3543,-86.2673
94,Pizza Hut,6371 Atlanta Hwy,,10:00 AM - 10:00 PM,Montgomery,AL,36117,32.3736,-86.1833
95,Pizza Hut,7827 Vaughn Rd,,11:00 AM - 8:00 PM,Montgomery,AL,36116,32.3129,-86.2421
96,Pizza Hut,11930 Hwy 157,,11:00 AM - 10:00 PM,Moulton,AL,35650,34.5058,-87.2224
